queue_rank,priority_band,gate_id,gate_name,strategy_id,strategy_support_level,strategy_role,work_package_focus,primary_work_package,acceptance_milestone,blocker_category,missing_requirement,next_required_evidence,current_evidence_sources,current_evidence_source_count,current_evidence_source_status,primary_wp_backlog_items,primary_wp_proxy_deliverables,primary_wp_acceptance_grade_deliverables,dependency_note,acceptance_ready_now
36,P4,G03_robustness,Robustness gate,S05,runnable_proxy,filter,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
37,P4,G03_robustness,Robustness gate,S07,runnable_proxy,priority,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
38,P4,G03_robustness,Robustness gate,S09,runnable_proxy,benchmark,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
39,P4,G03_robustness,Robustness gate,S03,partial_missing_required_features,priority,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
40,P4,G03_robustness,Robustness gate,S04,partial_missing_required_features,priority,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
41,P4,G03_robustness,Robustness gate,S06,partial_missing_required_features,priority,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
42,P4,G03_robustness,Robustness gate,S08,partial_missing_required_features,research,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/experiment_run_summary.csv; outputs/phase13/experiment_profile_robustness_summary.csv; outputs/phase13/robustness_dimension_summary.csv,4,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
43,P4,G03_robustness,Robustness gate,S10,not_supported_by_current_product,research_only,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/robustness_dimension_summary.csv,2,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
44,P4,G03_robustness,Robustness gate,S11,not_supported_by_current_product,risk_filter_only,WP9/WP10,WP9,full_registry_robustness_execution,robustness_smoke_only,"Multi-seed, walk-forward, parameter-smoothness, holdout-generator and real-data rerun evidence.","Execute the pre-registered Phase 13 experiment registry across all required seeds, folds, controls, parameter neighborhoods and holdout generator configurations.",outputs/phase13/experiment_registry.csv; outputs/phase13/robustness_dimension_summary.csv,2,present,4,S01-S11 modules; baseline strategies; parameter registry; shared feature interface,0,"Requires full required-seed execution, walk-forward folds, parameter-neighborhood smoothness, holdout-generator reruns and real-data reruns.",False
45,P5,G05_realism,Realism gate,S03,partial_missing_required_features,priority,WP10,WP10,holdout_generator_strategy_rerun,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,4,present,3,robustness matrix; strategy performance reports; synthetic realism dashboard,2,Requires strategy reruns on holdout generator configurations with feed imperfections and pessimistic execution controls.,False
46,P5,G05_realism,Realism gate,S04,partial_missing_required_features,priority,WP10,WP10,holdout_generator_strategy_rerun,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,4,present,3,robustness matrix; strategy performance reports; synthetic realism dashboard,2,Requires strategy reruns on holdout generator configurations with feed imperfections and pessimistic execution controls.,False
47,P5,G05_realism,Realism gate,S06,partial_missing_required_features,priority,WP10,WP10,holdout_generator_strategy_rerun,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,4,present,3,robustness matrix; strategy performance reports; synthetic realism dashboard,2,Requires strategy reruns on holdout generator configurations with feed imperfections and pessimistic execution controls.,False
48,P5,G05_realism,Realism gate,S08,partial_missing_required_features,research,WP10,WP10,holdout_generator_strategy_rerun,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,4,present,3,robustness matrix; strategy performance reports; synthetic realism dashboard,2,Requires strategy reruns on holdout generator configurations with feed imperfections and pessimistic execution controls.,False
49,P5,G05_realism,Realism gate,S10,not_supported_by_current_product,research_only,WP10,WP10,holdout_generator_strategy_rerun,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,4,present,3,robustness matrix; strategy performance reports; synthetic realism dashboard,2,Requires strategy reruns on holdout generator configurations with feed imperfections and pessimistic execution controls.,False
50,P5,G05_realism,Realism gate,S11,not_supported_by_current_product,risk_filter_only,WP10,WP10,holdout_generator_strategy_rerun,realism_warning_or_proxy_support,Synthetic quality without blocking warnings plus strategy support and holdout-generator realism evidence.,"Resolve Phase 14 warnings or document accepted tolerances, then rerun strategies on holdout generator configurations with feed imperfection and pessimistic execution controls.",outputs/phase14/quality_gate_summary.csv; outputs/phase14/quality_warning_triage.csv; outputs/phase14/holdout_generator_realism_summary.csv; outputs/phase11/strategy_validation_matrix.csv,4,present,3,robustness matrix; strategy performance reports; synthetic realism dashboard,2,Requires strategy reruns on holdout generator configurations with feed imperfections and pessimistic execution controls.,False
