execution_rank,gate_id,gate_name,gate_priority_rank,execution_milestone,execution_milestone_rank,execution_milestone_description,queue_rank,priority_band,strategy_id,strategy_support_level,strategy_role,work_package_focus,hardening_requirement,requirement_priority,action_class,dependency_type,dependency_status,required_threshold,observed_value,current_evidence_status,proxy_evidence_available,acceptance_requirement_met,acceptance_ready_now,hardening_status,blocking_gap,required_next_evidence,evidence_summary,evidence_source
121,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,31,P3,S08,partial_missing_required_features,research,WP9/WP10,baseline_outperformance,2,baseline_lift_validation,calibrated_or_proxy_predictions_with_baselines,proxy_to_upgrade,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=434894; baseline_pass_proxy=False; accuracy_excess_vs_majority=-0.007185154935377969; brier_skill=-0.031106465613085665,baseline_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current baseline comparison is proxy-only and does not clear all required baseline checks.,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
122,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,31,P3,S08,partial_missing_required_features,research,WP10,holdout_cell_stability,3,holdout_cell_validation,quarter_feed_segment_holdout_cells,proxy_to_upgrade,beats local-majority baseline in every quarter/feed/segment holdout cell,5/45 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current proxy holdout cells do not consistently beat local-majority baselines.,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
123,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,31,P3,S08,partial_missing_required_features,research,WP10,untouched_test_stability,4,untouched_test_validation,untouched_test_segments,proxy_to_upgrade,all untouched-test cells beat local-majority baseline,0/15 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Untouched-test stability is incomplete or failing in current proxy evidence.,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
124,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,31,P3,S08,partial_missing_required_features,research,WP9/WP10,feature_stability,5,model_feature_stability_validation,multi_seed_model_importance_or_attribution,proxy_to_upgrade,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
125,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,31,P3,S08,partial_missing_required_features,research,WP9/WP10,calibrated_model_output,7,calibrated_model_training,trained_frozen_calibrated_probability_models,missing_required_evidence,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,False,missing_required_acceptance_evidence,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.","Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
126,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,31,P3,S08,partial_missing_required_features,research,WP10,promotion_falsification_clear,9,promotion_falsification_clearance,joined_baseline_holdout_feature_and_real_holdout_evidence,proxy_to_upgrade,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
127,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,32,P3,S10,not_supported_by_current_product,research_only,WP9/WP10,baseline_outperformance,2,baseline_lift_validation,calibrated_or_proxy_predictions_with_baselines,proxy_to_upgrade,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=0; baseline_pass_proxy=False; accuracy_excess_vs_majority=nan; brier_skill=nan,baseline_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current baseline comparison is proxy-only and does not clear all required baseline checks.,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
128,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,32,P3,S10,not_supported_by_current_product,research_only,WP10,holdout_cell_stability,3,holdout_cell_validation,quarter_feed_segment_holdout_cells,proxy_to_upgrade,beats local-majority baseline in every quarter/feed/segment holdout cell,0/0 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current proxy holdout cells do not consistently beat local-majority baselines.,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
129,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,32,P3,S10,not_supported_by_current_product,research_only,WP10,untouched_test_stability,4,untouched_test_validation,untouched_test_segments,missing_required_evidence,all untouched-test cells beat local-majority baseline,0/0 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,False,False,False,missing_required_acceptance_evidence,Untouched-test stability is incomplete or failing in current proxy evidence.,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
130,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,32,P3,S10,not_supported_by_current_product,research_only,WP9/WP10,feature_stability,5,model_feature_stability_validation,multi_seed_model_importance_or_attribution,proxy_to_upgrade,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
131,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,32,P3,S10,not_supported_by_current_product,research_only,WP9/WP10,calibrated_model_output,7,calibrated_model_training,trained_frozen_calibrated_probability_models,missing_required_evidence,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,False,missing_required_acceptance_evidence,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.","Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
132,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,32,P3,S10,not_supported_by_current_product,research_only,WP10,promotion_falsification_clear,9,promotion_falsification_clearance,joined_baseline_holdout_feature_and_real_holdout_evidence,proxy_to_upgrade,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
133,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,33,P3,S11,not_supported_by_current_product,risk_filter_only,WP9/WP10,baseline_outperformance,2,baseline_lift_validation,calibrated_or_proxy_predictions_with_baselines,proxy_to_upgrade,"beats no-skill, local majority and Brier proxy baselines with enough rows",rows=0; baseline_pass_proxy=False; accuracy_excess_vs_majority=nan; brier_skill=nan,baseline_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current baseline comparison is proxy-only and does not clear all required baseline checks.,Run calibrated predictive validation and require positive accuracy/Brier skill versus no-skill and local-majority baselines.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
134,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,33,P3,S11,not_supported_by_current_product,risk_filter_only,WP10,holdout_cell_stability,3,holdout_cell_validation,quarter_feed_segment_holdout_cells,proxy_to_upgrade,beats local-majority baseline in every quarter/feed/segment holdout cell,0/0 cells beating local majority; all_cell_pass=False,holdout_stability_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current proxy holdout cells do not consistently beat local-majority baselines.,Run predeclared holdout-cell validation over multi-seed synthetic and untouched holdout-generator outputs.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
135,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,33,P3,S11,not_supported_by_current_product,risk_filter_only,WP10,untouched_test_stability,4,untouched_test_validation,untouched_test_segments,missing_required_evidence,all untouched-test cells beat local-majority baseline,0/0 untouched cells beating local majority; untouched_pass=False,untouched_test_proxy_available_not_acceptance,False,False,False,missing_required_acceptance_evidence,Untouched-test stability is incomplete or failing in current proxy evidence.,Reserve untouched cells and require all to beat local-majority baselines without feature or threshold reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
136,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,33,P3,S11,not_supported_by_current_product,risk_filter_only,WP9/WP10,feature_stability,5,model_feature_stability_validation,multi_seed_model_importance_or_attribution,proxy_to_upgrade,stable predictive feature importance across seed samples,feature_proxy_available=True; stable_feature_count=3; feature_pass=True,feature_stability_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,"Feature stability is a seed-sampled association proxy, not calibrated model importance stability.",Train calibrated predictive models across registered seeds and require stable feature importance / attribution.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
137,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,33,P3,S11,not_supported_by_current_product,risk_filter_only,WP9/WP10,calibrated_model_output,7,calibrated_model_training,trained_frozen_calibrated_probability_models,missing_required_evidence,calibrated probability or score model with acceptance-grade calibration diagnostics,ternary pseudo-probability proxy only,missing_calibrated_model_output,False,False,False,missing_required_acceptance_evidence,"Current Brier/calibration rows are deterministic ternary-signal pseudo-probabilities, not calibrated model outputs.","Train and freeze calibrated probability models, then evaluate Brier, calibration curve and baseline lift out of sample.",baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
138,G01_predictive,predictive,3,M03_predictive_model_and_baseline_validation,3,Produce calibrated predictive outputs and baseline/holdout/falsification evidence.,33,P3,S11,not_supported_by_current_product,risk_filter_only,WP10,promotion_falsification_clear,9,promotion_falsification_clearance,joined_baseline_holdout_feature_and_real_holdout_evidence,proxy_to_upgrade,"not falsified by baseline, holdout, untouched-test, feature-stability or support checks",predictive_promotion_candidate_proxy=False; status=falsified_for_predictive_promotion_under_current_proxy_evidence,promotion_falsification_proxy_available_not_acceptance,True,False,False,proxy_evidence_needs_acceptance_upgrade,Current predictive promotion-falsification ledger marks no strategy as acceptance-ready.,"Clear the full predictive promotion-falsification checklist after calibrated, multi-seed and real/holdout validation.",baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
139,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",23,P3,S01,runnable_proxy,priority,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
140,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",24,P3,S02,runnable_proxy,priority,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.089; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
141,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",25,P3,S05,runnable_proxy,filter,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.089; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
142,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",26,P3,S07,runnable_proxy,priority,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.089; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
143,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",27,P3,S09,runnable_proxy,benchmark,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
144,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",28,P3,S03,partial_missing_required_features,priority,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
145,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",29,P3,S04,partial_missing_required_features,priority,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.000; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
146,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",30,P3,S06,partial_missing_required_features,priority,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.022; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
147,G01_predictive,predictive,3,M04_full_seed_walk_forward_and_robustness_execution,4,"Run full seed, walk-forward, parameter-neighborhood, execution-profile and negative-control robustness tests.",31,P3,S08,partial_missing_required_features,research,WP9/WP10,multi_seed_walk_forward_validation,6,multi_seed_walk_forward_execution,registered_seeds_and_walk_forward_folds,missing_required_evidence,registered multi-seed and walk-forward predictive validation complete,not available in current proxy evidence,missing_multi_seed_walk_forward_predictive_validation,False,False,False,missing_required_acceptance_evidence,"Current predictive evidence is single current proxy diagnostics, not full registered multi-seed/walk-forward validation.",Execute the Phase 13 seed plan and walk-forward windows for predictive models without test reuse.,baseline_pass=False; holdout_all_cell_pass=False; untouched_test_pass=False; cell_beat_fraction=0.111; stable_feature_count=3; promotion_candidate=False,outputs/phase11/strategy_signal_diagnostics.csv; outputs/phase16/predictive_baseline_comparison.csv; outputs/phase16/predictive_holdout_stability_summary.csv; outputs/phase16/feature_importance_stability_proxy.csv; outputs/phase16/predictive_promotion_falsification.csv
