shock_id,counterfactual_group,variant,quarter_profile,scenario_day,trade_date,regime_code,regime_family,scope,target,shock_type,required_l2_effects,evidence_label,start_time,duration_minutes,price_jump_bps,drift_after_jump_bps,volatility_multiplier,event_rate_multiplier,spread_multiplier,depth_multiplier_bid,depth_multiplier_ask,buy_sell_flow_bias,correlation_multiplier,recovery_half_life_minutes,reversal_probability
Q-A-039-D13-T-BRITANNIA-continuation,Q-A-039-D13-BRITANNIA,continuation,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,BRITANNIA,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,45,-153.1567,-68.9205,3.6102,0.9828,4.4267,0.2107,0.4878,-0.4923,1.2764,45,0.2161
Q-A-039-D13-T-CIPLA-positive_shock,Q-A-039-D13-CIPLA,positive_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,CIPLA,earnings_beat,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,20,59.6088,5.6459,2.6405,1.4304,2.4377,0.5413,0.332,0.6567,1.4689,30,0.5027
Q-A-039-D13-T-CIPLA-negative_shock,Q-A-039-D13-CIPLA,negative_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,CIPLA,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,45,-73.3172,-0.7583,2.8797,1.1456,4.786,0.3748,0.571,-0.3834,1.6194,45,0.4323
Q-A-039-D13-T-CIPLA-quick_recovery,Q-A-039-D13-CIPLA,quick_recovery,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,CIPLA,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,15,-96.3321,57.7992,3.4317,1.6616,2.9062,0.3184,0.5586,-0.7962,1.2503,15,0.738
Q-A-039-D13-T-CIPLA-continuation,Q-A-039-D13-CIPLA,continuation,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,CIPLA,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,60,-23.2432,-10.4594,3.6628,2.2232,3.6843,0.2078,0.3956,-0.4434,1.3016,45,0.0651
Q-A-039-D13-T-DRREDDY-positive_shock,Q-A-039-D13-DRREDDY,positive_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,DRREDDY,earnings_miss,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,09:45:00,45,95.4121,7.3379,2.2213,1.138,2.7415,0.527,0.3499,0.8193,1.3835,45,0.3616
Q-A-039-D13-T-DRREDDY-negative_shock,Q-A-039-D13-DRREDDY,negative_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,DRREDDY,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,45,-23.6606,1.2428,1.879,1.8269,4.4265,0.3259,0.5088,-0.4896,1.2776,60,0.5353
Q-A-039-D13-T-DRREDDY-quick_recovery,Q-A-039-D13-DRREDDY,quick_recovery,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,DRREDDY,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,15,-11.4595,6.8757,1.9715,1.5425,3.7512,0.3006,0.4251,-0.7061,1.1313,5,0.7682
Q-A-039-D13-T-DRREDDY-continuation,Q-A-039-D13-DRREDDY,continuation,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,DRREDDY,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:45:00,60,-47.9069,-21.5581,2.4338,2.2323,4.0811,0.2966,0.5264,-0.4734,1.3927,90,0.1676
Q-A-039-D13-T-GOLDBEES-positive_shock,Q-A-039-D13-GOLDBEES,positive_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,GOLDBEES,guidance_change,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,12:15:00,60,62.5835,7.2441,1.9495,2.2252,3.1556,0.4475,0.3354,0.494,1.1067,60,0.2398
Q-A-039-D13-T-GOLDBEES-negative_shock,Q-A-039-D13-GOLDBEES,negative_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,GOLDBEES,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,45,-17.0617,-1.9967,2.513,1.2396,3.2997,0.3913,0.3849,-0.3666,1.5797,15,0.3447
Q-A-039-D13-T-GOLDBEES-quick_recovery,Q-A-039-D13-GOLDBEES,quick_recovery,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,GOLDBEES,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,15,-70.6719,42.4031,2.5671,1.3864,4.6511,0.3778,0.5615,-0.7218,1.1829,15,0.7153
Q-A-039-D13-T-GOLDBEES-continuation,Q-A-039-D13-GOLDBEES,continuation,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,GOLDBEES,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,20,-65.9712,-29.687,3.892,1.9971,3.6574,0.2051,0.3914,-0.7681,0.905,45,0.1947
Q-A-039-D13-T-HINDUNILVR-positive_shock,Q-A-039-D13-HINDUNILVR,positive_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,HINDUNILVR,regulatory_action,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,20,116.0449,20.6719,1.9268,1.6053,4.2806,0.392,0.2736,0.2587,1.5108,45,0.4351
Q-A-039-D13-T-HINDUNILVR-negative_shock,Q-A-039-D13-HINDUNILVR,negative_shock,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,HINDUNILVR,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,20,-30.6706,-4.599,3.7273,1.2337,2.34,0.3442,0.389,-0.375,1.0467,15,0.3419
Q-A-039-D13-T-HINDUNILVR-quick_recovery,Q-A-039-D13-HINDUNILVR,quick_recovery,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,HINDUNILVR,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,20,-38.1523,22.8914,1.9044,1.8839,3.515,0.3311,0.4343,-0.6693,1.4242,10,0.6048
Q-A-039-D13-T-HINDUNILVR-continuation,Q-A-039-D13-HINDUNILVR,continuation,Q-A,39,2026-09-04,D13,Liquidity-stressed,ticker,HINDUNILVR,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,20,-50.5354,-22.7409,2.8087,1.0895,3.0799,0.3538,0.4928,-0.6904,1.2815,60,0.0974
Q-A-042-D07-M-no_shock,Q-A-042-D07,no_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,30,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.7,30,0.2457
Q-A-042-D07-M-positive_shock,Q-A-042-D07,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,45,32.1809,-0.6275,6.2942,4.1477,2.8738,0.6994,0.2517,0.7531,2.1732,45,0.488
Q-A-042-D07-M-negative_shock,Q-A-042-D07,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,20,-175.187,5.8779,2.94,2.8017,4.3104,0.4116,0.6061,-0.5617,1.9795,45,0.4282
Q-A-042-D07-M-quick_recovery,Q-A-042-D07,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,15,-182.7064,109.6239,3.9547,3.9487,1.9594,0.2972,0.6445,-0.5772,2.4561,10,0.8063
Q-A-042-D07-M-continuation,Q-A-042-D07,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,market,ALL,broad_risk_off,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,60,-118.8153,-53.4669,6.1647,3.5591,3.2903,0.4858,0.5609,-0.3232,2.2124,60,0.0584
Q-A-042-D07-T-ADANIPORTS-positive_shock,Q-A-042-D07-ADANIPORTS,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ADANIPORTS,liquidity_disappearance,visible depth thinning;spread widening;stale pockets;replenishment test,synthetic_shock_design,13:45:00,60,122.7175,0.8534,6.021,3.4231,2.8513,0.6965,0.2331,0.2623,1.7943,30,0.4576
Q-A-042-D07-T-ADANIPORTS-negative_shock,Q-A-042-D07-ADANIPORTS,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ADANIPORTS,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,30,-185.2986,-2.3508,4.5533,2.0052,3.9768,0.2785,0.6853,-0.4338,1.7574,60,0.3184
Q-A-042-D07-T-ADANIPORTS-quick_recovery,Q-A-042-D07-ADANIPORTS,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ADANIPORTS,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,20,-140.9473,84.5684,4.2768,2.9985,2.8241,0.5158,0.7671,-0.6851,2.8829,15,0.6635
Q-A-042-D07-T-ADANIPORTS-continuation,Q-A-042-D07-ADANIPORTS,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ADANIPORTS,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,45,-132.6731,-59.7029,4.6514,2.1447,3.1888,0.4923,0.7505,-0.3754,2.7429,90,0.0652
Q-A-042-D07-T-BAJAJ-AUTO-positive_shock,Q-A-042-D07-BAJAJ-AUTO,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BAJAJ-AUTO,sharp_move_absorption,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,45,97.7808,-2.9584,4.459,3.668,2.2754,0.7623,0.2456,0.7269,2.3081,45,0.2596
Q-A-042-D07-T-BAJAJ-AUTO-negative_shock,Q-A-042-D07-BAJAJ-AUTO,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BAJAJ-AUTO,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,45,-28.9338,5.0856,6.5247,2.1994,4.0997,0.3536,0.7721,-0.7373,2.59,30,0.2088
Q-A-042-D07-T-BAJAJ-AUTO-quick_recovery,Q-A-042-D07-BAJAJ-AUTO,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BAJAJ-AUTO,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,20,-125.834,75.5004,6.4228,4.2801,2.1865,0.4559,0.6134,-0.549,2.5444,5,0.6055
Q-A-042-D07-T-BAJAJ-AUTO-continuation,Q-A-042-D07-BAJAJ-AUTO,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BAJAJ-AUTO,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,45,-224.7056,-101.1175,3.9412,4.2522,2.4982,0.4716,0.7686,-0.5993,2.4443,120,0.2303
Q-A-042-D07-T-BANKBEES-positive_shock,Q-A-042-D07-BANKBEES,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BANKBEES,false_breakout_depth_withdrawal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:45:00,30,235.7345,-37.2709,3.197,3.4937,2.564,0.4914,0.4422,0.6686,2.6455,15,0.3169
Q-A-042-D07-T-BANKBEES-negative_shock,Q-A-042-D07-BANKBEES,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BANKBEES,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,20,-26.7127,2.8326,4.9716,2.2353,2.2337,0.2531,0.5019,-0.8379,2.8421,60,0.3152
Q-A-042-D07-T-BANKBEES-quick_recovery,Q-A-042-D07-BANKBEES,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BANKBEES,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,20,-41.5211,24.9127,2.9365,2.8992,2.6056,0.2496,0.5201,-0.6557,2.3409,5,0.7718
Q-A-042-D07-T-BANKBEES-continuation,Q-A-042-D07-BANKBEES,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BANKBEES,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:45:00,60,-107.1038,-48.1967,4.0724,3.0718,3.132,0.3177,0.5138,-0.749,2.0082,45,0.1678
Q-A-042-D07-T-BHARTIARTL-positive_shock,Q-A-042-D07-BHARTIARTL,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BHARTIARTL,earnings_beat,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,60,336.8939,-9.0177,4.6749,1.9558,4.1838,0.699,0.3376,0.3769,2.1019,30,0.4552
Q-A-042-D07-T-BHARTIARTL-negative_shock,Q-A-042-D07-BHARTIARTL,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BHARTIARTL,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,30,-169.4924,-31.4235,4.9529,2.9726,3.6843,0.4484,0.5583,-0.6649,2.8565,30,0.4768
Q-A-042-D07-T-BHARTIARTL-quick_recovery,Q-A-042-D07-BHARTIARTL,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BHARTIARTL,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,20,-206.9517,124.171,4.949,3.111,1.9429,0.5155,0.6558,-0.5743,2.0644,5,0.8182
Q-A-042-D07-T-BHARTIARTL-continuation,Q-A-042-D07-BHARTIARTL,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BHARTIARTL,earnings_beat,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,60,-216.4595,-97.4068,3.0694,2.093,3.312,0.4334,0.5251,-0.6485,3.0187,60,0.0604
Q-A-042-D07-T-BPCL-positive_shock,Q-A-042-D07-BPCL,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BPCL,earnings_miss,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,20,49.8496,-6.9619,5.0199,2.792,2.931,0.731,0.4699,0.3287,2.2573,45,0.3064
Q-A-042-D07-T-BPCL-negative_shock,Q-A-042-D07-BPCL,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BPCL,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,45,-270.4012,-51.0387,3.2185,2.5393,2.5349,0.4878,0.6476,-0.6937,2.6076,45,0.4627
Q-A-042-D07-T-BPCL-quick_recovery,Q-A-042-D07-BPCL,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BPCL,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,30,-93.534,56.1204,2.9814,3.0826,3.4777,0.4669,0.7194,-0.6998,2.1917,5,0.7004
Q-A-042-D07-T-BPCL-continuation,Q-A-042-D07-BPCL,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BPCL,earnings_miss,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,20,-85.1023,-38.2961,5.3858,3.4762,4.24,0.2672,0.6811,-0.8385,1.725,60,0.1734
Q-A-042-D07-T-BRITANNIA-positive_shock,Q-A-042-D07-BRITANNIA,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BRITANNIA,guidance_change,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,12:15:00,30,133.6073,17.152,3.9419,2.7113,1.9414,0.5855,0.3662,0.6014,2.7982,60,0.2878
Q-A-042-D07-T-BRITANNIA-negative_shock,Q-A-042-D07-BRITANNIA,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BRITANNIA,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,45,-373.6457,26.3589,3.8605,4.0891,3.5352,0.3544,0.7641,-0.3786,2.4243,15,0.3177
Q-A-042-D07-T-BRITANNIA-quick_recovery,Q-A-042-D07-BRITANNIA,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BRITANNIA,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,30,-188.188,112.9128,6.1176,2.0811,3.25,0.4348,0.6311,-0.5716,2.103,5,0.5703
Q-A-042-D07-T-BRITANNIA-continuation,Q-A-042-D07-BRITANNIA,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,BRITANNIA,guidance_change,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,20,-224.8444,-101.18,3.545,2.1565,4.0428,0.2946,0.642,-0.7979,2.0364,120,0.1124
Q-A-042-D07-T-CIPLA-positive_shock,Q-A-042-D07-CIPLA,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,CIPLA,regulatory_action,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,10:45:00,20,217.9069,4.7078,3.6879,3.493,3.719,0.6267,0.4516,0.5813,2.5023,60,0.3157
Q-A-042-D07-T-CIPLA-negative_shock,Q-A-042-D07-CIPLA,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,CIPLA,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,20,-67.4085,-9.8437,4.6309,4.2026,4.1784,0.2991,0.5585,-0.6703,2.7041,15,0.2507
Q-A-042-D07-T-CIPLA-quick_recovery,Q-A-042-D07-CIPLA,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,CIPLA,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,30,-124.0818,74.4491,3.3576,3.9878,3.6624,0.3872,0.6847,-0.7446,2.5839,15,0.8441
Q-A-042-D07-T-CIPLA-continuation,Q-A-042-D07-CIPLA,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,CIPLA,regulatory_action,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,45,-104.6423,-47.0891,5.2071,4.0585,3.9447,0.4661,0.5373,-0.4421,2.5382,120,0.2396
Q-A-042-D07-T-DRREDDY-positive_shock,Q-A-042-D07-DRREDDY,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,DRREDDY,block_volume_burst,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,09:45:00,20,145.3809,13.2158,5.7575,2.9348,3.4939,0.5226,0.301,0.378,2.8625,60,0.3947
Q-A-042-D07-T-DRREDDY-negative_shock,Q-A-042-D07-DRREDDY,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,DRREDDY,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:45:00,60,-132.5271,11.3405,3.6272,3.5097,2.8411,0.4427,0.5922,-0.2685,2.2644,45,0.2436
Q-A-042-D07-T-DRREDDY-quick_recovery,Q-A-042-D07-DRREDDY,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,DRREDDY,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,15,-250.374,150.2244,4.6185,1.9318,2.8144,0.5155,0.6941,-0.6594,1.8247,10,0.6743
Q-A-042-D07-T-DRREDDY-continuation,Q-A-042-D07-DRREDDY,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,DRREDDY,block_volume_burst,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,30,-212.1724,-95.4776,4.5033,3.1563,2.38,0.2415,0.6056,-0.2632,2.655,90,0.2076
Q-A-042-D07-T-GOLDBEES-positive_shock,Q-A-042-D07-GOLDBEES,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,GOLDBEES,headline_rumor_reversal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:45:00,60,125.6558,-6.0715,4.3067,4.0554,4.1199,0.7592,0.4813,0.2986,2.4444,15,0.4168
Q-A-042-D07-T-GOLDBEES-negative_shock,Q-A-042-D07-GOLDBEES,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,GOLDBEES,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,30,-160.7734,31.0263,3.6851,3.0788,2.0542,0.4304,0.6142,-0.6668,2.1342,45,0.2542
Q-A-042-D07-T-GOLDBEES-quick_recovery,Q-A-042-D07-GOLDBEES,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,GOLDBEES,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,30,-285.7174,171.4304,4.6372,3.9924,4.0995,0.2409,0.5627,-0.7981,2.478,10,0.7133
Q-A-042-D07-T-GOLDBEES-continuation,Q-A-042-D07-GOLDBEES,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,GOLDBEES,headline_rumor_reversal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:45:00,60,-187.1021,-84.1959,4.2851,1.916,2.615,0.35,0.635,-0.344,2.0866,120,0.2276
Q-A-042-D07-T-HINDUNILVR-positive_shock,Q-A-042-D07-HINDUNILVR,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,HINDUNILVR,liquidity_disappearance,visible depth thinning;spread widening;stale pockets;replenishment test,synthetic_shock_design,10:45:00,30,151.2019,-18.324,4.5417,2.0271,3.086,0.6709,0.383,0.3134,1.8422,15,0.4811
Q-A-042-D07-T-HINDUNILVR-negative_shock,Q-A-042-D07-HINDUNILVR,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,HINDUNILVR,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,13:45:00,20,-229.6476,31.3922,3.7767,2.3405,4.0878,0.257,0.6727,-0.7819,2.5767,15,0.2348
Q-A-042-D07-T-HINDUNILVR-quick_recovery,Q-A-042-D07-HINDUNILVR,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,HINDUNILVR,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:00:00,15,-214.3248,128.5949,2.9699,2.4516,2.4007,0.4371,0.5814,-0.4285,1.8263,5,0.7181
Q-A-042-D07-T-HINDUNILVR-continuation,Q-A-042-D07-HINDUNILVR,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,HINDUNILVR,liquidity_disappearance,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,09:45:00,45,-154.8448,-69.6801,4.3231,2.3553,2.23,0.2808,0.7044,-0.4812,2.3802,45,0.2197
Q-A-042-D07-T-ITBEES-positive_shock,Q-A-042-D07-ITBEES,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITBEES,sharp_move_absorption,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:45:00,30,387.3678,-19.1043,3.6324,4.0637,3.0414,0.5108,0.3417,0.5388,2.5077,30,0.3893
Q-A-042-D07-T-ITBEES-negative_shock,Q-A-042-D07-ITBEES,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITBEES,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,20,-276.6858,-21.6846,5.2001,2.0118,4.1602,0.3845,0.7321,-0.5527,2.9743,45,0.4203
Q-A-042-D07-T-ITBEES-quick_recovery,Q-A-042-D07-ITBEES,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITBEES,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:30:00,15,-125.5975,75.3585,3.7255,3.5887,3.6103,0.4894,0.4943,-0.8386,2.0684,15,0.589
Q-A-042-D07-T-ITBEES-continuation,Q-A-042-D07-ITBEES,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITBEES,sharp_move_absorption,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:45:00,45,-187.1394,-84.2127,5.3433,2.5717,3.8938,0.3518,0.6125,-0.4494,2.5598,45,0.1625
Q-A-042-D07-T-ITC-positive_shock,Q-A-042-D07-ITC,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITC,false_breakout_depth_withdrawal,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,14:45:00,20,90.9134,1.9627,5.6295,3.7925,2.5628,0.6673,0.424,0.7374,2.3915,30,0.2533
Q-A-042-D07-T-ITC-negative_shock,Q-A-042-D07-ITC,negative_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITC,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,10:45:00,60,-300.6012,58.2661,4.3167,3.0866,2.9592,0.2619,0.6691,-0.8479,2.9289,45,0.216
Q-A-042-D07-T-ITC-quick_recovery,Q-A-042-D07-ITC,quick_recovery,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITC,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,14:30:00,30,-113.1452,67.8871,6.0755,2.7864,2.2711,0.4144,0.6755,-0.7026,2.6278,15,0.6333
Q-A-042-D07-T-ITC-continuation,Q-A-042-D07-ITC,continuation,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,ITC,false_breakout_depth_withdrawal,bid withdrawal;sell sweep;spread widening;high event intensity;depth recovery,synthetic_shock_design,12:15:00,60,-136.0207,-61.2093,3.9563,3.4902,3.6698,0.2667,0.5982,-0.8016,1.8839,120,0.0674
Q-A-042-D07-T-JUNIORBEES-positive_shock,Q-A-042-D07-JUNIORBEES,positive_shock,Q-A,42,2026-09-09,D07,Sell-off/panic,ticker,JUNIORBEES,earnings_beat,ask depletion;buy trade burst;spread widening;normalization,synthetic_shock_design,13:45:00,45,99.268,5.6844,6.5969,3.762,3.8184,0.7163,0.3817,0.2747,1.7606,15,0.3743
