experiment_id,quarter_profile,simulation_seed,strategy_id,parameter_set_id,control_id,segment_scope,status,retain_failed_run
EXP13_000273,Q-C,930002,S06,S06_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000274,Q-C,930002,S06,S06_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000275,Q-C,930002,S06,S06_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000276,Q-C,930002,S06,S06_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000277,Q-C,930002,S07,S07_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000278,Q-C,930002,S07,S07_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000279,Q-C,930002,S07,S07_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000280,Q-C,930002,S07,S07_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000281,Q-C,930002,S08,S08_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000282,Q-C,930002,S08,S08_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000283,Q-C,930002,S08,S08_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000284,Q-C,930002,S08,S08_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000285,Q-C,930002,S09,S09_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000286,Q-C,930002,S09,S09_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000287,Q-C,930002,S09,S09_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000288,Q-C,930002,S09,S09_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000289,Q-C,930003,S01,S01_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000290,Q-C,930003,S01,S01_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000291,Q-C,930003,S01,S01_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000292,Q-C,930003,S01,S01_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000293,Q-C,930003,S02,S02_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000294,Q-C,930003,S02,S02_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000295,Q-C,930003,S02,S02_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000296,Q-C,930003,S02,S02_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000297,Q-C,930003,S03,S03_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000298,Q-C,930003,S03,S03_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000299,Q-C,930003,S03,S03_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000300,Q-C,930003,S03,S03_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000301,Q-C,930003,S04,S04_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000302,Q-C,930003,S04,S04_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000303,Q-C,930003,S04,S04_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000304,Q-C,930003,S04,S04_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000305,Q-C,930003,S05,S05_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000306,Q-C,930003,S05,S05_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000307,Q-C,930003,S05,S05_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000308,Q-C,930003,S05,S05_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000309,Q-C,930003,S06,S06_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000310,Q-C,930003,S06,S06_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000311,Q-C,930003,S06,S06_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000312,Q-C,930003,S06,S06_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000313,Q-C,930003,S07,S07_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000314,Q-C,930003,S07,S07_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000315,Q-C,930003,S07,S07_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000316,Q-C,930003,S07,S07_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000317,Q-C,930003,S08,S08_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000318,Q-C,930003,S08,S08_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000319,Q-C,930003,S08,S08_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000320,Q-C,930003,S08,S08_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
EXP13_000321,Q-C,930003,S09,S09_P001,BASE,calibration_development_and_validation_only,planned_not_run,True
EXP13_000322,Q-C,930003,S09,S09_P001,NC01,calibration_development_and_validation_only,planned_not_run,True
EXP13_000323,Q-C,930003,S09,S09_P001,NC02,calibration_development_and_validation_only,planned_not_run,True
EXP13_000324,Q-C,930003,S09,S09_P001,NC03,calibration_development_and_validation_only,planned_not_run,True
