horizon_seconds,threshold_policy,fixed_notional_inr,cost_profile,max_concurrent_positions
1800,all_nonzero_signal,100000,zerodha_base,1
1800,all_nonzero_signal,100000,zerodha_base,2
1800,all_nonzero_signal,100000,zerodha_base,4
1800,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,1
1800,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,2
1800,all_nonzero_signal,100000,zerodha_plus_1bp_slippage,4
1800,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,1
1800,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,2
1800,all_nonzero_signal,100000,zerodha_plus_2bp_slippage,4
1800,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,1
1800,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,2
1800,all_nonzero_signal,100000,zerodha_2x_all_in_cost_proxy,4
